file_name,max,min,one_sigma1,one_sigma2,outlier_cnt_mean,div60,peak,tail,date,class,label_first,label_second,label_third,label_fourth,real_label,log_label
/hdd2/data/TWT/AI_0422-0522/bioref_setup/190522/cam2(10^1=10.5) (10^2=135.5)/105_bioref_0_1_cam2.tif,46.532275,46.48855277777778,46.521662088544275,46.501911059603884,21,6.367441896604933,5663265,28.0,190522,4,1,4.0,,,135500.0,5.131939295210424
/hdd2/data/TWT/AI_0422-0522/bioref_setup/190522/cam2(10^1=10.5) (10^2=135.5)/104_bioref_0_3_cam2.tif,48.574925,48.530702777777776,48.56119420135626,48.54181237271781,20,4.231649656635804,6549426,20.0,190522,3,0,,1.0,,13550.0,4.131939295210424
/hdd2/data/TWT/AI_0422-0522/bioref_setup/190522/cam2(10^1=10.5) (10^2=135.5)/105_bioref_0_2_cam2.tif,46.658372222222226,46.63092777777778,46.64979556629116,46.63776674852364,20,6.407985252314812,5646088,31.0,190522,4,1,4.0,,,135500.0,5.131939295210424
/hdd2/data/TWT/AI_0422-0522/bioref_setup/190522/cam2(10^1=10.5) (10^2=135.5)/102_bioref_120_1_cam2.tif,49.048325,49.01985833333333,49.041468053251144,49.02946231711925,21,3.1972251219135783,6640758,21.0,190522,1,0,,0.0,1.0,135.5,2.1319392952104246
/hdd2/data/TWT/AI_0422-0522/bioref_setup/190522/cam2(10^1=10.5) (10^2=135.5)/107_bioref_120_3_cam2.tif,45.9664,45.600075,45.85217488633185,45.6855195581126,23,310.21205933333334,1578669,156.0,190522,6,1,6.0,,,13550000.0,7.131939295210424
/hdd2/data/TWT/AI_0422-0522/bioref_setup/190522/cam2(10^1=10.5) (10^2=135.5)/102_bioref_240_2_cam2.tif,44.99622222222222,44.96466388888889,44.98643332062216,44.97246121641487,18,2.8649985625000065,6824263,19.0,190522,1,0,,0.0,1.0,135.5,2.1319392952104246
/hdd2/data/TWT/AI_0422-0522/bioref_setup/190522/cam2(10^1=10.5) (10^2=135.5)/103_bioref_0_3_cam2.tif,42.99809166666667,42.960186111111106,42.99083561285069,42.9722295723345,18,3.0873998070987683,6911671,20.0,190522,2,0,,0.0,2.0,1355.0,3.1319392952104246
/hdd2/data/TWT/AI_0422-0522/bioref_setup/190522/cam2(10^1=10.5) (10^2=135.5)/105_bioref_0_3_cam2.tif,46.57433055555556,46.52521666666666,46.564419956488685,46.541686524992784,22,6.436441734567892,5620739,30.0,190522,4,1,4.0,,,135500.0,5.131939295210424
/hdd2/data/TWT/AI_0422-0522/bioref_setup/190522/cam2(10^1=10.5) (10^2=135.5)/101_bioref_0_1_cam2.tif,44.46495555555556,44.443486111111106,44.46008402365041,44.450135791164406,24,3.6525301064814784,6890699,19.0,190522,0,0,,0.0,0.0,10.5,1.021189299069938
/hdd2/data/TWT/AI_0422-0522/bioref_setup/190522/cam2(10^1=10.5) (10^2=135.5)/101_bioref_240_3_cam2.tif,42.89676111111111,42.868883333333336,42.89012729936549,42.878166774708575,19,2.6703500462962984,6992873,20.0,190522,0,0,,0.0,0.0,10.5,1.021189299069938
